city_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
167,bourail,NC,72.86,-21.57,165.48,Nekweta
169,faya,SA,73.4,18.39,42.45,مقبرة ال مجمل
170,lakhdenpokhya,RU,68.0,61.52,30.2,Rauhala Place
171,bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
172,chokurdakh,RU,61.66,70.63,147.92, 
174,obzor,BG,68.0,42.82,27.88,Aquapark Sol LunaBay Resort
175,kisangani,CD,69.62,0.52,25.2,Grand Ramela Hotel
177,lozova,UA,60.13,48.89,36.32,Готель Лозовая
178,naze,JP,82.4,28.37,129.48,奄美ポートタワーホテル
179,krapkowice,PL,61.0,50.48,17.97,Hotel ''Zamkowy Młyn''
180,los llanos de aridane,ES,71.6,28.66,-17.92,Valle Aridane
184,labe,GN,67.39,11.32,-12.28,Hôtel Djamtum
185,bambous virieux,MU,72.0,-20.34,57.76,Casa Tia Villa
186,la asuncion,VE,78.85,11.03,-63.86,Colinas de Matasiete
189,revelstoke,CA,67.82,50.98,-118.2,Best Western Plus Revelstoke
191,bombay,IN,84.2,19.01,72.85,Four Seasons Hotel Mumbai
195,awjilah,LY,73.53,29.11,21.29, 
199,petatlan,MX,80.74,17.52,-101.27,Hotel California Petatlán
200,sagaing,MM,82.4,21.88,95.98,Makara Cruise
203,tilichiki,RU,61.09,60.47,166.1, 
206,kolondieba,ML,73.78,11.09,-6.89,Hotel Dakan
207,maceio,BR,73.4,-9.67,-35.74,Mercure Maceio Pajucara Hotel
208,ranong,TH,78.8,9.97,98.63,Tinidee Hotel@Ranong
209,krasnyy yar,RU,62.6,46.53,48.35,Cottege near Ufa
212,villa bruzual,VE,74.75,9.33,-69.12,Hotel Turen
215,madimba,TZ,71.69,-10.4,40.33, 
217,quatre cocos,MU,72.0,-20.21,57.76,Veranda Palmar Beach Hotel
218,lompoc,US,66.99,34.64,-120.46,Holiday Inn Express Lompoc
219,plato,CO,79.7,9.79,-74.78,Park Hotel Caiman
222,ilo,PE,61.41,-17.64,-71.34,Torreblanca Hotel
223,mount isa,AU,73.4,-20.73,139.5,ibis Styles Mt Isa Verona
226,hami,CN,71.02,42.8,93.45,Laoyutang Resort
227,artvin,TR,69.8,41.17,41.83,Koru Otel
228,vila do maio,CV,75.2,15.13,-23.22,Residence 'I Delfini'
232,fortuna,US,66.0,40.6,-124.16,Super 8 by Wyndham Fortuna
233,bayir,TR,68.0,37.27,28.22,Buban Otel
234,ponta do sol,PT,69.8,32.67,-17.1,Hotel do Campo
237,muzaffarabad,PK,81.09,34.37,73.47,Pearl Continental Muzaffarabad
238,labuhan,ID,80.6,-6.88,112.21,bador sepret
240,san cristobal,VE,65.52,7.77,-72.22,Pirineos
242,carnarvon,AU,68.0,-24.87,113.63,Hospitality Carnarvon
245,vila velha,BR,71.01,-20.33,-40.29,Hotel Vitória Palace
246,zyryanskoye,RU,69.84,56.83,86.63, 
247,pisco,PE,62.6,-13.7,-76.22,Hostal San Isidro Oficial
248,sungaipenuh,ID,74.41,-2.08,101.38,Hotel Jaya Wisata 2
249,camacha,PT,68.0,33.08,-16.33,Hotel Porto Santo & Spa
254,tautira,PF,80.6,-17.73,-149.15,Pension Oaoa
255,richards bay,ZA,62.64,-28.78,32.04,BON Hotel Waterfront Richards Bay
259,lahad datu,MY,78.94,5.03,118.33,The 27th House
